,id,building,class_name,proff,num,friends,day,time
0,38109,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,14.0
1,38110,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,14.3
2,38111,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,15.0
3,38112,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,15.3
4,38113,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,16.0
5,38114,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,16.3
6,38115,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,17.0
7,38116,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,14.0
8,38117,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,14.3
9,38118,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,15.0
10,38119,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,15.3
11,38120,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,16.0
12,38121,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,16.3
13,38122,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,17.0
14,38123,Givens, Introduction to Design Processes I, Compadre,12,0,T,14.0
15,38124,Givens, Introduction to Design Processes I, Compadre,12,0,T,14.3
16,38125,Givens, Introduction to Design Processes I, Compadre,12,0,T,15.0
17,38126,Givens, Introduction to Design Processes I, Compadre,12,0,T,15.3
18,38127,Givens, Introduction to Design Processes I, Compadre,12,0,T,16.0
19,38128,Givens, Introduction to Design Processes I, Compadre,12,0,T,16.3
20,38129,Givens, Introduction to Design Processes I, Compadre,12,0,T,17.0
21,38130,Givens, Introduction to Design Processes I, Compadre,12,0,H,14.0
22,38131,Givens, Introduction to Design Processes I, Compadre,12,0,H,14.3
23,38132,Givens, Introduction to Design Processes I, Compadre,12,0,H,15.0
24,38133,Givens, Introduction to Design Processes I, Compadre,12,0,H,15.3
25,38134,Givens, Introduction to Design Processes I, Compadre,12,0,H,16.0
26,38135,Givens, Introduction to Design Processes I, Compadre,12,0,H,16.3
27,38136,Givens, Introduction to Design Processes I, Compadre,12,0,H,17.0
28,38137,Givens, Introduction to Design Processes I, Denizen,11,0,T,14.0
29,38138,Givens, Introduction to Design Processes I, Denizen,11,0,T,14.3
30,38139,Givens, Introduction to Design Processes I, Denizen,11,0,T,15.0
31,38140,Givens, Introduction to Design Processes I, Denizen,11,0,T,15.3
32,38141,Givens, Introduction to Design Processes I, Denizen,11,0,T,16.0
33,38142,Givens, Introduction to Design Processes I, Denizen,11,0,T,16.3
34,38143,Givens, Introduction to Design Processes I, Denizen,11,0,T,17.0
35,38144,Givens, Introduction to Design Processes I, Denizen,11,0,H,14.0
36,38145,Givens, Introduction to Design Processes I, Denizen,11,0,H,14.3
37,38146,Givens, Introduction to Design Processes I, Denizen,11,0,H,15.0
38,38147,Givens, Introduction to Design Processes I, Denizen,11,0,H,15.3
39,38148,Givens, Introduction to Design Processes I, Denizen,11,0,H,16.0
40,38149,Givens, Introduction to Design Processes I, Denizen,11,0,H,16.3
41,38150,Givens, Introduction to Design Processes I, Denizen,11,0,H,17.0
42,38151,Givens, Introduction to Design Processes I, Freixas,11,0,T,14.0
43,38152,Givens, Introduction to Design Processes I, Freixas,11,0,T,14.3
44,38153,Givens, Introduction to Design Processes I, Freixas,11,0,T,15.0
45,38154,Givens, Introduction to Design Processes I, Freixas,11,0,T,15.3
46,38155,Givens, Introduction to Design Processes I, Freixas,11,0,T,16.0
47,38156,Givens, Introduction to Design Processes I, Freixas,11,0,T,16.3
